has_adhd,has_dyslexia,has_autism,has_anxiety,attention_span,sleep_hours,daily_study_hrs,learning_style,peak_focus_time,study_env,user_category,struggle,current_level,prior_attempt,content_type,memory_load,difficulty,has_deadline,days_to_exam,pomodoro_short,pomodoro_standard,feynman,spaced_repetition,active_recall,mind_mapping,past_papers,time_blocking,interleaving,elaborative_interrogation,audio_notes,colour_coding,chunking,worked_examples,dual_coding,shadowing,comprehensible_input,spaced_rep_vocab,output_practice,grammar_in_context,immersion_sessions,timed_practice,topic_prioritisation,exam_technique,revision_sprints,consistency_system
0,0,0,1,10_20,7.5,5.8,read_write,late_night,cafe,language_learner,language_anxiety,near_fluent,not_applicable,theory,medium,4,0,999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,10_20,4.4,1.6,visual,evening,noisy_home,uni_student,managing_time,not_applicable,not_applicable,theory,medium,2,1,180,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,45_plus,9.0,1.0,kinesthetic,late_night,cafe,uni_student,dont_know_how_to_study,not_applicable,not_applicable,mixed,high,4,0,999,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,under_10,7.5,6.1,read_write,morning,library,uni_student,staying_focused,not_applicable,not_applicable,calculation,medium,2,1,180,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,5.8,1.2,read_write,morning,varies,language_learner,language_anxiety,conversational,not_applicable,mixed,high,5,1,90,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,45_plus,8.9,3.1,read_write,late_night,noisy_home,language_learner,grammar_confusion,beginner,not_applicable,practical,high,4,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,45_plus,6.3,1.4,visual,morning,varies,uni_student,managing_time,not_applicable,not_applicable,mixed,low,1,0,999,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,45_plus,5.5,4.8,read_write,evening,cafe,cert_candidate,exam_technique,not_applicable,first_time,mixed,high,1,1,180,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,under_10,7.5,6.4,read_write,morning,varies,self_study,remembering,not_applicable,not_applicable,theory,high,4,0,999,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,under_10,8.4,6.0,read_write,afternoon,quiet_home,language_learner,language_anxiety,beginner,not_applicable,practical,medium,3,1,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,under_10,7.1,7.5,kinesthetic,late_night,varies,cert_candidate,covering_all_content,not_applicable,first_time,practical,high,4,1,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,1,20_45,7.5,0.6,visual,morning,quiet_home,self_study,motivation,not_applicable,not_applicable,mixed,medium,5,1,180,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,45_plus,6.8,5.5,read_write,morning,library,self_study,understanding,not_applicable,not_applicable,practical,high,5,1,180,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,under_10,7.3,7.0,kinesthetic,evening,varies,language_learner,cant_produce,conversational,not_applicable,theory,high,1,1,90,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,under_10,6.1,2.0,read_write,afternoon,varies,uni_student,managing_time,not_applicable,not_applicable,calculation,medium,5,0,999,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,under_10,6.7,3.2,auditory,morning,varies,uni_student,dont_know_how_to_study,not_applicable,not_applicable,theory,high,1,1,60,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,10_20,7.5,4.9,auditory,late_night,cafe,uni_student,managing_time,not_applicable,not_applicable,calculation,low,4,1,180,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20_45,4.6,3.9,read_write,evening,quiet_home,language_learner,vocab_doesnt_stick,conversational,not_applicable,practical,high,4,1,30,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,10_20,8.6,3.7,kinesthetic,evening,library,self_study,understanding,not_applicable,not_applicable,mixed,medium,1,1,30,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20_45,7.5,2.0,visual,morning,varies,cert_candidate,all_of_the_above,not_applicable,first_time,mixed,medium,2,1,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,1,0,under_10,6.9,2.3,kinesthetic,afternoon,quiet_home,cert_candidate,all_of_the_above,not_applicable,first_time,practical,high,4,1,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,10_20,7.1,6.4,auditory,evening,library,language_learner,language_anxiety,conversational,not_applicable,practical,high,2,1,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,10_20,5.9,2.2,read_write,late_night,varies,uni_student,staying_focused,not_applicable,not_applicable,calculation,medium,2,1,90,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,under_10,8.4,3.3,visual,late_night,varies,uni_student,remembering,not_applicable,not_applicable,calculation,low,1,1,60,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,45_plus,8.5,2.3,read_write,morning,library,uni_student,dont_know_how_to_study,not_applicable,not_applicable,mixed,medium,3,1,90,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,4.5,5.2,read_write,afternoon,varies,language_learner,vocab_doesnt_stick,basic,not_applicable,mixed,high,5,1,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0,0,0,10_20,6.4,3.9,visual,afternoon,cafe,uni_student,motivation,not_applicable,not_applicable,theory,high,1,1,180,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20_45,7.7,5.7,read_write,late_night,cafe,uni_student,motivation,not_applicable,not_applicable,practical,low,2,1,90,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,under_10,8.8,4.6,kinesthetic,late_night,library,uni_student,motivation,not_applicable,not_applicable,theory,medium,2,1,180,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,10_20,5.2,6.0,visual,morning,noisy_home,self_study,dont_know_how_to_study,not_applicable,not_applicable,theory,medium,4,1,180,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,under_10,5.6,2.6,kinesthetic,morning,varies,cert_candidate,covering_all_content,not_applicable,retaking,theory,high,4,1,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,under_10,8.9,6.8,visual,late_night,varies,uni_student,managing_time,not_applicable,not_applicable,practical,high,3,1,30,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,45_plus,7.6,5.8,read_write,morning,quiet_home,self_study,dont_know_how_to_study,not_applicable,not_applicable,practical,medium,3,1,14,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,under_10,7.7,3.8,auditory,morning,noisy_home,cert_candidate,staying_consistent,not_applicable,recertifying,practical,high,1,1,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1,1,0,0,under_10,8.1,3.9,visual,afternoon,noisy_home,language_learner,grammar_confusion,conversational,not_applicable,mixed,medium,3,1,30,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,under_10,4.9,6.7,kinesthetic,afternoon,cafe,uni_student,motivation,not_applicable,not_applicable,mixed,medium,1,1,180,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,6.7,0.5,read_write,afternoon,varies,self_study,understanding,not_applicable,not_applicable,theory,low,3,1,14,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,45_plus,8.7,4.2,auditory,late_night,noisy_home,uni_student,staying_focused,not_applicable,not_applicable,mixed,high,2,1,7,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,45_plus,4.1,3.2,read_write,afternoon,varies,uni_student,dont_know_how_to_study,not_applicable,not_applicable,calculation,medium,3,1,180,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,under_10,8.5,6.0,read_write,morning,quiet_home,self_study,motivation,not_applicable,not_applicable,theory,medium,4,1,60,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,under_10,6.9,6.7,visual,evening,cafe,uni_student,staying_focused,not_applicable,not_applicable,calculation,medium,4,1,14,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,45_plus,5.4,5.4,read_write,morning,varies,uni_student,understanding,not_applicable,not_applicable,theory,low,1,1,14,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,under_10,6.2,6.4,auditory,morning,cafe,uni_student,staying_focused,not_applicable,not_applicable,mixed,medium,1,1,7,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,under_10,5.4,4.8,kinesthetic,evening,quiet_home,language_learner,vocab_doesnt_stick,near_fluent,not_applicable,theory,high,1,1,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,45_plus,8.2,1.5,auditory,morning,quiet_home,uni_student,understanding,not_applicable,not_applicable,mixed,medium,1,1,60,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,10_20,5.5,5.4,read_write,evening,varies,self_study,remembering,not_applicable,not_applicable,mixed,low,1,1,30,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,45_plus,6.0,8.0,visual,evening,library,uni_student,staying_focused,not_applicable,not_applicable,practical,high,5,1,90,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45_plus,8.6,3.1,read_write,evening,cafe,uni_student,managing_time,not_applicable,not_applicable,theory,low,4,1,180,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45_plus,6.8,5.9,auditory,morning,quiet_home,uni_student,staying_focused,not_applicable,not_applicable,theory,high,5,1,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,1,0,0,20_45,8.5,7.8,kinesthetic,afternoon,library,language_learner,grammar_confusion,beginner,not_applicable,mixed,high,4,1,30,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,10_20,5.3,6.2,kinesthetic,morning,quiet_home,cert_candidate,staying_consistent,not_applicable,first_time,theory,high,3,1,90,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,45_plus,4.6,0.8,kinesthetic,morning,varies,self_study,managing_time,not_applicable,not_applicable,practical,medium,1,1,7,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,under_10,5.8,7.9,read_write,morning,library,uni_student,understanding,not_applicable,not_applicable,calculation,high,2,1,90,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,20_45,8.9,2.9,kinesthetic,late_night,varies,uni_student,remembering,not_applicable,not_applicable,calculation,high,4,1,180,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,6.0,0.7,read_write,evening,varies,uni_student,managing_time,not_applicable,not_applicable,mixed,low,3,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,20_45,5.3,4.6,auditory,late_night,cafe,uni_student,understanding,not_applicable,not_applicable,calculation,medium,1,1,180,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,under_10,6.9,1.4,visual,evening,varies,cert_candidate,running_out_of_time,not_applicable,first_time,theory,high,1,1,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,45_plus,7.6,6.3,kinesthetic,evening,library,uni_student,understanding,not_applicable,not_applicable,theory,high,4,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,20_45,7.9,4.7,visual,evening,library,uni_student,motivation,not_applicable,not_applicable,calculation,high,4,1,180,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45_plus,5.1,2.3,kinesthetic,evening,library,language_learner,no_practice_time,near_fluent,not_applicable,theory,medium,2,1,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,under_10,5.1,3.7,visual,afternoon,varies,language_learner,vocab_doesnt_stick,beginner,not_applicable,practical,medium,4,1,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,under_10,7.2,3.1,kinesthetic,morning,noisy_home,self_study,managing_time,not_applicable,not_applicable,theory,medium,3,1,60,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45_plus,7.8,6.2,auditory,afternoon,quiet_home,cert_candidate,covering_all_content,not_applicable,first_time,theory,high,1,0,999,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,10_20,7.7,0.8,auditory,morning,cafe,uni_student,managing_time,not_applicable,not_applicable,practical,medium,5,1,180,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,under_10,6.5,6.1,read_write,late_night,quiet_home,uni_student,managing_time,not_applicable,not_applicable,theory,high,5,1,90,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,6.5,3.7,kinesthetic,afternoon,library,uni_student,remembering,not_applicable,not_applicable,calculation,low,1,1,14,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,under_10,4.3,4.0,read_write,evening,library,language_learner,no_practice_time,basic,not_applicable,practical,high,3,1,30,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,10_20,7.4,2.4,auditory,afternoon,varies,uni_student,understanding,not_applicable,not_applicable,calculation,medium,2,1,30,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,under_10,4.3,4.0,read_write,morning,cafe,cert_candidate,running_out_of_time,not_applicable,first_time,theory,high,5,1,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,20_45,6.2,1.4,visual,late_night,noisy_home,self_study,dont_know_how_to_study,not_applicable,not_applicable,theory,medium,1,1,14,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,10_20,6.6,2.2,kinesthetic,late_night,noisy_home,uni_student,understanding,not_applicable,not_applicable,calculation,low,1,1,90,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,under_10,7.2,5.1,visual,morning,quiet_home,uni_student,managing_time,not_applicable,not_applicable,calculation,low,4,1,90,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,45_plus,4.6,3.7,auditory,morning,varies,cert_candidate,staying_consistent,not_applicable,first_time,mixed,high,1,1,7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,1,20_45,4.3,4.1,auditory,morning,cafe,cert_candidate,all_of_the_above,not_applicable,first_time,mixed,high,1,1,180,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,under_10,4.9,6.0,auditory,afternoon,cafe,uni_student,managing_time,not_applicable,not_applicable,mixed,low,5,1,30,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,10_20,4.0,0.9,visual,afternoon,cafe,self_study,staying_focused,not_applicable,not_applicable,mixed,medium,2,1,90,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,10_20,4.9,6.0,visual,morning,quiet_home,self_study,managing_time,not_applicable,not_applicable,practical,medium,4,1,60,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,under_10,7.2,5.0,auditory,afternoon,quiet_home,language_learner,grammar_confusion,advanced,not_applicable,mixed,high,2,1,90,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,under_10,4.2,1.4,kinesthetic,late_night,varies,uni_student,dont_know_how_to_study,not_applicable,not_applicable,mixed,high,3,1,60,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,under_10,6.8,7.5,kinesthetic,evening,library,uni_student,dont_know_how_to_study,not_applicable,not_applicable,calculation,low,4,1,180,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10_20,4.4,7.5,auditory,afternoon,varies,cert_candidate,all_of_the_above,not_applicable,retaking,mixed,high,1,1,180,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,under_10,4.6,7.8,visual,evening,cafe,cert_candidate,exam_technique,not_applicable,retaking,theory,high,3,0,999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,1,under_10,4.6,6.3,visual,afternoon,cafe,self_study,understanding,not_applicable,not_applicable,practical,medium,2,1,90,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,45_plus,8.9,1.6,kinesthetic,morning,quiet_home,uni_student,remembering,not_applicable,not_applicable,mixed,high,5,1,14,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,under_10,5.3,4.5,kinesthetic,evening,library,uni_student,staying_focused,not_applicable,not_applicable,theory,high,4,1,14,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,10_20,4.7,8.0,kinesthetic,evening,library,uni_student,remembering,not_applicable,not_applicable,practical,medium,1,1,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,20_45,4.5,3.7,visual,morning,library,language_learner,vocab_doesnt_stick,basic,not_applicable,theory,high,2,1,14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,10_20,8.9,7.9,read_write,morning,varies,cert_candidate,all_of_the_above,not_applicable,retaking,mixed,high,5,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,20_45,8.9,6.8,visual,late_night,quiet_home,self_study,understanding,not_applicable,not_applicable,mixed,medium,5,1,60,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,10_20,5.4,1.5,auditory,late_night,quiet_home,cert_candidate,running_out_of_time,not_applicable,first_time,theory,medium,4,1,60,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,20_45,4.6,1.5,auditory,evening,noisy_home,language_learner,grammar_confusion,conversational,not_applicable,theory,high,2,1,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,45_plus,6.1,4.0,visual,late_night,noisy_home,self_study,motivation,not_applicable,not_applicable,theory,medium,5,1,90,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,under_10,5.2,2.9,kinesthetic,late_night,varies,uni_student,dont_know_how_to_study,not_applicable,not_applicable,practical,low,2,1,180,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20_45,8.5,3.8,visual,evening,quiet_home,uni_student,understanding,not_applicable,not_applicable,theory,high,2,1,14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,45_plus,5.4,6.2,visual,afternoon,quiet_home,language_learner,vocab_doesnt_stick,basic,not_applicable,practical,high,2,1,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,1,0,0,under_10,8.1,1.5,auditory,late_night,varies,language_learner,no_practice_time,advanced,not_applicable,practical,high,2,1,180,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,20_45,7.9,7.1,auditory,morning,noisy_home,self_study,staying_focused,not_applicable,not_applicable,practical,low,5,1,180,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,under_10,5.6,5.2,visual,afternoon,library,uni_student,dont_know_how_to_study,not_applicable,not_applicable,calculation,high,1,1,180,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,20_45,6.1,1.0,auditory,late_night,cafe,language_learner,vocab_doesnt_stick,near_fluent,not_applicable,theory,medium,2,1,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
